DW Product,product_id,product_category_name,product_weight_g,Product_status_to_Delete,Weight_Category
352,fd5dd5fe13fcd7d1d4d6322e35c559f0,Home Design,4750,in stock,Medium
353,fd5c5a67cd369732c2ac20dbd574d1d4,Gadgets,450,in stock,Light
354,fd55ab8af788f6bba621cd37a8701889,Sports,3900,low stock,Medium
355,fd538a6af86a4b1b8546ec67d04a6323,Gadgets,7700,in stock,Heavy
356,fd52a24b7fa473a6c7a62a5ee7579def,Toys,700,in stock,Light
357,fd5165e9ee553f6e1bc24e5103ceb50b,Decor,1700,in stock,Medium
358,fd4b4443bc919df49bbcc062742b8f06,Pets,1523,in stock,Medium
359,fd4a96848f84ddaabcdc5bdbf831a194,Accessories,350,in stock,Light
360,fd471a043ee8b8dd27f4086495e0724c,Art,3000,low stock,Medium
361,fd45ce2fbdcaa362dfb5d1a21e87a711,Bathroom,500,in stock,Light
362,fd445af3bbca370905733a0bf87b89bd,Pets,600,in stock,Light
363,fd440fd792fd8a4b681f1eb258c25445,Furniture,1200,out of stock,Medium
364,fd4269ef0b64a4ef82eb098107665158,Appliances,1666,in stock,Medium
365,fd424396761d9e1609c5516b7d8ce17b,Home Design,4825,in stock,Medium
366,fd40f3ef9c7fb9c550619a88af47a5de,Jewelry,22550,in stock,Heavy
367,fd3ceef50842d4449ec638256dcf2147,Jewelry,3313,in stock,Medium
368,fd3a4121e687a6b84e7af92606d5d718,Books,150,in stock,Light
369,fd37eb547d2c63b60bcefd68951ee54d,Appliances,2700,in stock,Medium
370,fd3449bd706d46a7196d18bbd38b32f4,Art,640,in stock,Light
371,fd33cf682028dd12dea92f2ec002c6e7,Jewelry,675,in stock,Light
372,fd29afd700b83ec4c34fe4a5b68fc23d,Furniture,717,in stock,Light
373,fd28b464cf1660a67606f7b48c8c38c6,Kitchen Products,700,in stock,Light
374,fd25ab760bfbba13c198fa3b4f1a0cd3,Furniture,1300,in stock,Medium
375,fd220f6fd5a3f13ef9db07428f9c935d,Art,280,in stock,Light
376,fd2168a1a9661512d53cb23d6d23ee02,Kitchen Products,650,low stock,Light
377,fd206f3c185fd47c22d6de48f25133fe,Bathroom,500,in stock,Light
378,fd1eb7fd67e76cf3283618735a57cbcd,Makeup,1600,in stock,Medium
379,fd1e94b07608d8b4a74b0c81dd4fe10e,Sports,1700,in stock,Medium
380,fd1d81ca3e323dfc0b3f48e0225e4bbf,Home Design,6500,in stock,Heavy
381,fd1b303c073ff6cdf78c7ad4d25b5409,Appliances,250,in stock,Light
382,fd1abebad3478dd37080b399656dbb7d,Accessories,300,in stock,Light
383,fd1976772549ed5b4aed965293122ac8,Sports,458,in stock,Light
384,fd18f2f8c3c6818f28fee7202d811830,Appliances,125,out of stock,Light
385,fd16d6944e49931ace2c99037c4d8868,Accessories,750,in stock,Light
386,fd15dec337d57a332d25ec667eb5e859,Musical Instruments,725,in stock,Light
387,fd1446e03cb63518fdc2d2e91f6208b2,Furniture,250,in stock,Light
388,fd12e3863702114b037de431a73ed139,Makeup,200,in stock,Light
389,fd1061ebebbb9892c59897096066dec5,Accessories,1400,in stock,Medium
390,fd0f7402731790468090d7895cf61c0f,Bathroom,500,in stock,Light
391,fd0e6b3e2ab6191b59d373995a5b747a,Home Design,200,in stock,Light
392,fd0dc040197a6ac42d115243a8cee1dc,Home Design,139,in stock,Light
393,fd0cabf47b122be0cbaaac86fc34b4a8,Home Design,1200,in stock,Medium
394,fd0c762860528d119344e1377b574fc5,Sports,317,in stock,Light
395,fd09697dea5aa0de13308b83c6e03f69,Shoes,750,in stock,Light
396,fd0731561b291a28f6a3a189e86a1107,Bathroom,800,in stock,Light
397,fd06ee724785658f80f21107c42352a8,Sports,1150,in stock,Medium
398,fd0065af7f09af4b82a0ca8f3eed1852,Kitchen Products,3000,in stock,Medium
399,fcffe8b68efdfe24c139e44753dc505e,Musical Instruments,2600,in stock,Medium
400,fcfe8ebda270478afa5867ec5e46e7be,Toys,385,in stock,Light
401,fcf8767deaa2d325a3150d5bcb8acbea,Pets,350,out of stock,Light
402,fcf6d4fd2e97087087d61d228999d662,Art,200,in stock,Light
403,fcf6ad274391aea29f5d6e5ef9da5050,Accessories,513,in stock,Light
404,fcf64c72035fc6f17660bae96c933ffb,Art,200,in stock,Light
405,fcf50ee5ad1f1a48671052487d2b0bff,Clothing,250,in stock,Light
406,fcf4c9a897ae906e5a467ebf4589dffd,Musical Instruments,987,out of stock,Light
407,fcf41b0fb1a95c8f66330d698d55a532,Jewelry,250,in stock,Light
408,fcf39794919367e915d2656291f99564,Clothing,100,in stock,Light
409,fcf311603fa276d415c006188e7bd070,Art,90,in stock,Light
410,fcf28afb1353f2f12ea041dd74954226,Books,300,in stock,Light
411,fcf19b6b1ff4a17bcd6ca9675b58aa6f,Kitchen Products,725,low stock,Light
412,fcebf00185e30ec68a53482496656b25,Clothing,2300,in stock,Medium
413,fce976d7954f915c971fb93ac8724681,Jewelry,250,in stock,Light
414,fce345e86ad30c0a8de7f92f71ecb4cc,Musical Instruments,100,in stock,Light
415,fce1a7007f115fe2b900a7592ee87c47,Decor,200,in stock,Light
416,fce15962a64fe4b658917a18983fb266,Makeup,550,in stock,Light
417,fcdebbb6946ae0ff528fe189ad53de46,Clothing,700,in stock,Light
418,fcde1899043318107d8f0ae043f69bc3,Sports,400,in stock,Light
419,fcddf470369a3a13fc7b6146ac3a816e,Musical Instruments,20300,in stock,Heavy
420,fcdb929c70287379ce31deed3f733d72,Clothing,1625,in stock,Medium
421,fcda3a9193321b42d5b6177aa4f9e3ed,Makeup,300,in stock,Light
422,fcd98736b0f93602db185e73afddefc1,Books,850,in stock,Light
423,fcd525d5a642e0fe40613667da935322,Books,100,in stock,Light
424,fcd3383d6f4f1c10260d479342c4fd54,Pets,150,in stock,Light
425,fcd119ff3868ddbb0013932039418ede,Musical Instruments,550,in stock,Light
426,fcd0a70961c103799897803f4e49c628,Kitchen Products,400,in stock,Light
427,fccd4d9159e9566d6c8708ffd6af7aa4,Jewelry,333,in stock,Light
428,fcc54227ff8274a40686b505d5874e8c,Toys,2300,low stock,Medium
429,fcc27d197f2e7be2b9a8ecedfd1a1730,Accessories,2000,in stock,Medium
430,fcc22617447eefe483e5e60d6bdf7b22,Sports,1000,low stock,Light
431,fcbdd87d29fc2d2fe700a7459d43445a,Musical Instruments,300,low stock,Light
432,fcbb2b8c6eb8c27d15790d9834b253b4,Furniture,350,out of stock,Light
433,fcbb0fb955e82fdf9afbb3641b5a6ac0,Bathroom,5075,in stock,Heavy
434,fcb9824e33f82adb4fcac27ef46905b5,Appliances,100,in stock,Light
435,fcb7e7f24f5e50c7786b39f30d5ae704,Kitchen Products,2200,out of stock,Medium
436,fcb72602e3e6f59e5fdb5c3a4a3de410,Art,8750,in stock,Heavy
437,fcb6c42b17e6fe27366fe1fcc98b7032,Appliances,1500,in stock,Medium
438,fcb61bdd656827a13a98f369eeb9fa3b,Jewelry,1600,in stock,Medium
439,fcb300f1ac9a1231f70f3d2be2db9af2,Pets,700,in stock,Light
440,fcb224113ca69bc837459203e6eeea29,Decor,450,in stock,Light
441,fcb0e3bd6245e82cb0203dca6c126e43,Sports,200,out of stock,Light
442,fcad6e5643f855de4b616a24e6dd25e4,Toys,15150,out of stock,Heavy
443,fcaab5d7f656094e49fbe4ee3a506658,Sports,7650,in stock,Heavy
444,fca62108387e25005784da2f551466a1,Gadgets,14600,in stock,Heavy
445,fca5d31cf768e5bf8a75483fa7f4674c,Makeup,11400,in stock,Heavy
446,fca5350a69eb4d8ae4f5884413ebd0e5,Kitchen Products,400,in stock,Light
447,fca32487845a373fbc6c334ac5bf663c,Accessories,150,in stock,Light
448,fca2e81c23d935ea664ac286eb86ccf5,Jewelry,200,in stock,Light
449,fca0ce04818f39ab1d78491218d8aa5a,Shoes,100,in stock,Light
450,fc9f8ce7c9be6295161b8c8fccb26b6b,Toys,500,in stock,Light
451,fc9f1b7e877d87c6e78cc32686a73a27,Accessories,1000,in stock,Light
452,fc9ccf6863eb3c05fbaa46d4382540e7,Sports,400,in stock,Light
453,fc9af7b3544da8645e6c3148a22026e2,Musical Instruments,5500,low stock,Heavy
454,fc956e40e1a0ca9889d2e182aa6fddd3,Art,5050,in stock,Heavy
455,fc94d52bb346616a130e657a8fac829b,Musical Instruments,7100,low stock,Heavy
456,fc93dd7f733b2e9ed94453e40e4fa677,Appliances,150,in stock,Light
457,fc935e2845dacecf29f0555465bed91b,Musical Instruments,600,in stock,Light
458,fc931a514a3e080c336911cccd59145b,Kitchen Products,679,in stock,Light
459,fc8e852906ed3985a6e1ea67eb1dfdf9,Decor,600,in stock,Light
460,fc8b21a0fa8ae9622a79bd557b380961,Bathroom,350,in stock,Light
461,fc8895b553fa05e3c996f020da54ef8a,Art,526,out of stock,Light
462,fc877e6bbeb95de8809398eca3f2a3fe,Furniture,2600,in stock,Medium
463,fc86606232e0da421bf450a13068a4b4,Musical Instruments,1300,in stock,Medium
464,fc8595227785863846b7daa2ae3f2c9b,Home Design,400,out of stock,Light
465,fc84057c7ba16fe04a3c66cf104e02a6,Clothing,8050,in stock,Heavy
466,fc83db05de6120d00e02ea0fe6f916af,Kitchen Products,1300,in stock,Medium
467,fc8379cce9f27ea602b3c16f7eb121b3,Art,473,low stock,Light
468,fc831da5307b1a3e23ed0259a2b6b2a1,Gadgets,1250,in stock,Medium
469,fc831501bb322d6de2ffc32037fe0f34,Makeup,350,in stock,Light
470,fc7f47f5160e876b754ce2b83a02c01c,Home Design,150,in stock,Light
471,fc7d2de677b4aec44e4c6c900d3f8b79,Kitchen Products,3400,in stock,Medium
472,fc7c2a5b006ec4b9166c89db4c46bf78,Home Design,2250,in stock,Medium
473,fc7b2bd9172746b4151710bc2132f6a7,Shoes,300,in stock,Light
474,fc7a99a9bea1e3544a0712c0649595ec,Home Design,3500,in stock,Medium
475,fc7138a8f96aee8302e42916bbbbb818,Books,161,in stock,Light
476,fc6fe2e1150a893d2fa9445851ccc350,Clothing,5800,in stock,Heavy
477,fc6f75aed00a45312365ba4a37adb3f6,Clothing,250,in stock,Light
478,fc6d90a253003d53136e1b444beb55dc,Accessories,1400,in stock,Medium
479,fc6c38ee7759b0a92503910745aa9ef0,Sports,1700,in stock,Medium
480,fc6ba6bf4b28fdad575e27b56cafe176,Jewelry,1150,in stock,Medium
481,fc6b299cf83fa76632dd1b0a2c611f33,Pets,500,in stock,Light
482,fc64f94fa41c3384cce3defbe89db72f,Gadgets,450,in stock,Light
483,fc623b74602f30f00e2e3ce320b8dafa,Kitchen Products,2400,in stock,Medium
484,fc5feda8d6c915bdbd6ca84bac05e2eb,Clothing,150,in stock,Light
485,fc5dd987f12a7b823a76a44aa1ba88f6,Furniture,250,in stock,Light
486,fc5db2fc460f284583971cf23f3fc75e,Makeup,650,in stock,Light
487,fc5c33cddd49638580cfe9fec90aa943,Shoes,300,in stock,Light
488,fc5bf9e50dbfb45e7634bd8c045411c5,Accessories,200,in stock,Light
489,fc5a20562c99bbc5229b175d0a88ea7a,Decor,6225,in stock,Heavy
490,fc5888c7df7361d2582b2fd195a827eb,Bathroom,850,in stock,Light
491,fc56c478c11ca5989e21da62cb19de16,Art,1350,in stock,Medium
492,fc5428e8e3dbc80bf96f681ed2e95026,Appliances,500,in stock,Light
493,fc5062f483f32b6e7d6e4a38c402d56c,Furniture,10700,in stock,Heavy
494,fc5043902812d122c4e80113ff924c1b,Makeup,5500,in stock,Heavy
495,fc5010afcac79b05b2e4bc8e5912092d,Jewelry,3725,in stock,Medium
496,fc4e529d4121c3f5ced63c2ad05fb2d2,Kitchen Products,400,in stock,Light
497,fc4d6bb8b2fba6297e0bd65aaa38624a,Kitchen Products,150,in stock,Light
498,fc49395ccfb1f65ab0d1352684772112,Gadgets,500,low stock,Light
499,fc470dc1924bf42ce34d83187505dbe4,Toys,150,in stock,Light
500,fc44aa56f6950438772a08ec23552fd9,Clothing,750,out of stock,Light
501,fc444943f2e00f21072361c8dcc0e0d2,Sports,350,in stock,Light
502,fc43d4931ce7b45c01dcf5289927dc01,Makeup,803,in stock,Light
503,fc4179aaee80873ac630e593d669256d,Shoes,400,in stock,Light
504,fc41206e8fcdfebc2418ab3a038053af,Sports,3550,low stock,Medium
505,fc40fe8ca610260f036ecf18dd8d3b24,Musical Instruments,5543,in stock,Heavy
506,fc3e972df7e263b301e2bee77ac2a6d3,Pets,1600,in stock,Medium
507,fc3d0f0efacfaae58292fed1ab69fd47,Appliances,450,in stock,Light
508,fc37e09bb4dadd1eef5e92e954b1c72e,Clothing,500,in stock,Light
509,fc35f167625d74f06ad5e5e643172cb9,Art,200,in stock,Light
510,fc2edee55f4118969f4dc49f7a717605,Books,500,low stock,Light
511,fc2d2cbc50b7d69ce961df503cb25e6b,Sports,18500,in stock,Heavy
512,fc2d17e60bdd3349a25f3ca6a802a91e,Clothing,500,out of stock,Light
513,fc2a6f1929e34e5d997d26683b6c0bd9,Kitchen Products,600,in stock,Light
514,fc2a10fccd980a626042e02b0948269d,Bathroom,450,in stock,Light
515,fc276546b539ea9ad62827c2a5e2ae42,Bathroom,550,low stock,Light
516,fc2351bcf24c714e5d21b44ad41198b7,Appliances,6850,in stock,Heavy
517,fc22eb7bba78fd67da33c9acf162d592,Pets,3500,in stock,Medium
518,fc2053a22dde0b067898ea436a86ec6e,Appliances,1900,in stock,Medium
519,fc1d8637c0268af3db482c14b7ef8e75,Makeup,1700,in stock,Medium
520,fc17dfdde3d4bd5a186b417704775d06,Appliances,13450,in stock,Heavy
521,fc158c6d4f95cc9d4c33c5b11b081779,Pets,450,in stock,Light
522,fc154625377a75559098d1b52e40b78a,Sports,1905,in stock,Medium
523,fc1449f3ffc59fd2eb9640505aea0581,Accessories,1400,in stock,Medium
524,fc13bac52be6640d9a77f54894e2c0e6,Furniture,550,in stock,Light
525,fc0c0ec18acc7de4c5d1eb3d4c274e72,Toys,426,in stock,Light
526,fc04e723b53a7b372e081da67cf6aca2,Toys,1500,out of stock,Medium
527,fc0234a0ca2e8c140d56247254f8e618,Musical Instruments,1000,in stock,Light
528,fbf7215badcb7ebd5b322b71a0733fb8,Musical Instruments,5534,in stock,Heavy
529,fbf19c12a50f1467bcae50364475ca26,Makeup,917,in stock,Light
530,fbed7bca664c2d2d9a1412223f7c8aeb,Sports,600,in stock,Light
531,fbecfbe44e34c5291e5499870cd5db2e,Art,5000,in stock,Medium
532,fbec390384fbb8d53d97c29a5bbb26ae,Musical Instruments,1640,in stock,Medium
533,fbe6ed76eed46e62a6e2dba72745725d,Shoes,400,in stock,Light
534,fbe6d5795a52b760e25a4e9677a2e217,Books,16000,in stock,Heavy
535,fbe581b34ee461c334f769e1422eb1de,Books,1650,in stock,Medium
536,fbd925d80d07790dc9f61463efb3c64c,Pets,150,in stock,Light
537,fbd4031ddbc3d02b95834b62769d3ad0,Makeup,10050,in stock,Heavy
538,fbd2a9aa1f115244e2ce115ad8eacfca,Shoes,1200,in stock,Medium
539,fbce52c4e7a3898c2ade51f177f77012,Bathroom,207,low stock,Light
540,fbce4c4cb307679d89a3bf3d3bb353b9,Makeup,6550,low stock,Heavy
541,fbcd9b07bda0301e7e776fc1ab26fdfe,Accessories,2200,in stock,Medium
542,fbcd62530875b193a5e21728242d77a4,Musical Instruments,100,out of stock,Light
543,fbc4b7ed41d3f3152bbe55826d9fec73,Home Design,530,in stock,Light
544,fbc27ebd87bc38f09e41f1d062d116a7,Books,2000,in stock,Medium
545,fbc1488c1a1e72ba175f53ab29a248e8,Gadgets,560,in stock,Light
546,fbbccb1d65066d96ce4cc9edef2f5a0a,Decor,2500,in stock,Medium
547,fbb72ae209733219a1a5019715b15472,Kitchen Products,1300,in stock,Medium
548,fbb63264ad9777810766ae4bed802224,Kitchen Products,200,low stock,Light
549,fbb4594a7d9aff5d02ae898ee494b935,Gadgets,1250,low stock,Medium
